"cve_ent_mun","fecha","confirmados","decesos","pruebas","indice_vulnerabilidad"
"20075","30/06/2020",0,0,1,"sin vulnerabilidad"
"20076","30/06/2020",0,0,0,"vulnerabilidad baja"
"20077","30/06/2020",12,0,22,"vulnerabilidad muy alta"
"20078","30/06/2020",0,0,2,"vulnerabilidad media"
"20079","30/06/2020",121,20,250,"vulnerabilidad media"
"20080","30/06/2020",0,0,1,"vulnerabilidad baja"
"20081","30/06/2020",0,0,0,"vulnerabilidad alta"
"20082","30/06/2020",0,0,0,"vulnerabilidad baja"
"20083","30/06/2020",34,3,60,"vulnerabilidad alta"
"20084","30/06/2020",21,0,31,"vulnerabilidad media"
"20085","30/06/2020",1,0,2,"vulnerabilidad media"
"20086","30/06/2020",0,0,0,"vulnerabilidad alta"
"20087","30/06/2020",9,0,19,"vulnerabilidad muy alta"
"20088","30/06/2020",0,0,0,"vulnerabilidad media"
"20089","30/06/2020",0,0,0,"vulnerabilidad baja"
"20090","30/06/2020",1,0,4,"vulnerabilidad media"
"20091","30/06/2020",23,1,40,"vulnerabilidad media"
"20092","30/06/2020",12,2,15,"vulnerabilidad alta"
"20093","30/06/2020",0,0,0,"vulnerabilidad alta"
"20094","30/06/2020",0,0,0,"vulnerabilidad media"
"20095","30/06/2020",0,0,1,"vulnerabilidad alta"
"20096","30/06/2020",0,0,0,"vulnerabilidad baja"
"20097","30/06/2020",0,0,0,"vulnerabilidad media"
"20098","30/06/2020",0,0,0,"vulnerabilidad alta"
"20099","30/06/2020",0,0,0,"vulnerabilidad alta"
"20100","30/06/2020",0,0,0,"vulnerabilidad media"
"20101","30/06/2020",0,0,0,"vulnerabilidad alta"
"20102","30/06/2020",4,1,11,"vulnerabilidad alta"
"20103","30/06/2020",42,8,47,"vulnerabilidad muy alta"
"20104","30/06/2020",1,0,1,"vulnerabilidad media"
"20105","30/06/2020",0,0,2,"vulnerabilidad media"
"20106","30/06/2020",0,0,0,"vulnerabilidad baja"
"20107","30/06/2020",126,22,184,"vulnerabilidad muy alta"
"20108","30/06/2020",0,0,0,"vulnerabilidad media"
"20109","30/06/2020",0,0,2,"vulnerabilidad baja"
"20110","30/06/2020",0,0,1,"vulnerabilidad alta"
"20111","30/06/2020",0,0,1,"vulnerabilidad media"
"20112","30/06/2020",3,1,3,"vulnerabilidad baja"
"20113","30/06/2020",0,0,1,"vulnerabilidad media"
"20114","30/06/2020",0,0,0,"vulnerabilidad media"
"20115","30/06/2020",49,4,85,"vulnerabilidad media"
"20116","30/06/2020",0,0,1,"vulnerabilidad media"
"20117","30/06/2020",0,0,1,"vulnerabilidad media"
"20118","30/06/2020",1,0,1,"vulnerabilidad alta"
"20119","30/06/2020",0,0,0,"vulnerabilidad alta"
"20120","30/06/2020",0,0,0,"vulnerabilidad media"
"20121","30/06/2020",0,0,0,"vulnerabilidad alta"
"20122","30/06/2020",0,0,0,"vulnerabilidad baja"
"20123","30/06/2020",1,0,1,"vulnerabilidad media"
"20124","30/06/2020",4,0,8,"vulnerabilidad alta"
"20125","30/06/2020",0,0,1,"vulnerabilidad media"
"20126","30/06/2020",1,0,1,"vulnerabilidad media"
"20127","30/06/2020",0,0,0,"vulnerabilidad media"
"20128","30/06/2020",0,0,0,"vulnerabilidad media"
"20129","30/06/2020",0,0,0,"vulnerabilidad baja"
"20130","30/06/2020",1,0,1,"vulnerabilidad media"
"20131","30/06/2020",2,1,4,"vulnerabilidad media"
"20132","30/06/2020",6,0,6,"vulnerabilidad alta"
"20133","30/06/2020",0,0,0,"vulnerabilidad media"
"20134","30/06/2020",14,3,17,"vulnerabilidad media"
"20135","30/06/2020",15,1,21,"vulnerabilidad alta"
"20136","30/06/2020",1,1,4,"vulnerabilidad media"
