"cve_ent_mun","fecha","confirmados","decesos","pruebas","indice_vulnerabilidad"
"24003","30/06/2020",27,3,137,"vulnerabilidad media"
"24004","30/06/2020",0,0,2,"vulnerabilidad media"
"24005","30/06/2020",11,0,42,"vulnerabilidad baja"
"24006","30/06/2020",10,1,27,"vulnerabilidad media"
"24007","30/06/2020",2,0,26,"sin vulnerabilidad"
"24008","30/06/2020",1,0,23,"vulnerabilidad baja"
"24009","30/06/2020",9,1,23,"vulnerabilidad baja"
"24010","30/06/2020",8,1,28,"vulnerabilidad media"
"24011","30/06/2020",39,1,155,"vulnerabilidad baja"
"24012","30/06/2020",18,3,61,"vulnerabilidad media"
"24013","30/06/2020",441,16,1420,"vulnerabilidad baja"
"24014","30/06/2020",15,1,43,"vulnerabilidad media"
"24015","30/06/2020",5,0,43,"vulnerabilidad media"
"24016","30/06/2020",13,1,67,"vulnerabilidad media"
"24017","30/06/2020",1,0,40,"vulnerabilidad media"
"24018","30/06/2020",20,0,98,"vulnerabilidad media"
"24019","30/06/2020",2,0,5,"vulnerabilidad media"
"24020","30/06/2020",82,2,409,"vulnerabilidad baja"
"24021","30/06/2020",34,1,133,"vulnerabilidad media"
"24022","30/06/2020",10,1,26,"vulnerabilidad media"
"24023","30/06/2020",1,0,12,"vulnerabilidad media"
"24024","30/06/2020",73,1,383,"vulnerabilidad media"
"24025","30/06/2020",24,2,50,"vulnerabilidad media"
"24026","30/06/2020",5,0,29,"vulnerabilidad media"
"24027","30/06/2020",8,0,25,"vulnerabilidad baja"
"24028","30/06/2020",1201,61,4710,"vulnerabilidad baja"
"24029","30/06/2020",11,0,38,"vulnerabilidad media"
"24030","30/06/2020",2,0,10,"vulnerabilidad media"
"24031","30/06/2020",4,1,24,"vulnerabilidad media"
"24032","30/06/2020",39,2,119,"vulnerabilidad media"
"24033","30/06/2020",5,0,17,"vulnerabilidad baja"
"24034","30/06/2020",15,0,36,"vulnerabilidad media"
"24035","30/06/2020",198,15,653,"vulnerabilidad baja"
"24036","30/06/2020",10,3,40,"vulnerabilidad media"
"24037","30/06/2020",440,17,822,"vulnerabilidad media"
"24038","30/06/2020",10,1,28,"vulnerabilidad media"
"24039","30/06/2020",2,0,24,"vulnerabilidad media"
"24040","30/06/2020",36,4,91,"vulnerabilidad media"
"24041","30/06/2020",12,0,55,"vulnerabilidad media"
"24042","30/06/2020",18,0,53,"vulnerabilidad media"
"24043","30/06/2020",6,1,14,"vulnerabilidad media"
"24044","30/06/2020",4,0,13,"vulnerabilidad media"
"24045","30/06/2020",2,0,10,"vulnerabilidad media"
"24046","30/06/2020",7,2,28,"vulnerabilidad baja"
"24047","30/06/2020",1,0,17,"vulnerabilidad media"
"24048","30/06/2020",0,0,9,"vulnerabilidad media"
"24049","30/06/2020",4,2,26,"vulnerabilidad media"
"24050","30/06/2020",17,2,85,"vulnerabilidad baja"
"24051","30/06/2020",7,0,26,"vulnerabilidad media"
"24052","30/06/2020",5,0,20,"vulnerabilidad media"
"24053","30/06/2020",27,0,102,"vulnerabilidad media"
"24054","30/06/2020",85,3,170,"vulnerabilidad media"
"24055","30/06/2020",3,0,17,"vulnerabilidad media"
"24056","30/06/2020",22,0,63,"vulnerabilidad media"
"24057","30/06/2020",47,3,93,"vulnerabilidad media"
"24058","30/06/2020",9,1,52,"vulnerabilidad baja"
"25001","30/06/2020",1353,257,2393,"sin vulnerabilidad"
"25002","30/06/2020",104,16,171,"sin vulnerabilidad"
"25003","30/06/2020",42,4,66,"vulnerabilidad media"
"25004","30/06/2020",23,3,32,"vulnerabilidad baja"
"25005","30/06/2020",30,1,51,"vulnerabilidad baja"
"25006","30/06/2020",2877,521,6100,"vulnerabilidad media"
"25007","30/06/2020",14,4,33,"vulnerabilidad media"
"25008","30/06/2020",16,3,44,"vulnerabilidad baja"
"25009","30/06/2020",132,14,211,"vulnerabilidad media"
"25010","30/06/2020",113,21,245,"vulnerabilidad media"
"25011","30/06/2020",1299,152,2310,"vulnerabilidad baja"
"25012","30/06/2020",1338,156,2465,"vulnerabilidad baja"
"25013","30/06/2020",58,12,112,"vulnerabilidad media"
"25014","30/06/2020",62,5,104,"vulnerabilidad baja"
"25015","30/06/2020",498,61,798,"sin vulnerabilidad"
"25016","30/06/2020",18,2,29,"vulnerabilidad baja"
"25017","30/06/2020",111,12,202,"vulnerabilidad baja"
"25018","30/06/2020",208,48,411,"vulnerabilidad baja"
"26001","30/06/2020",2,0,4,"sin vulnerabilidad"
"26002","30/06/2020",220,16,398,"vulnerabilidad baja"
"26003","30/06/2020",22,0,38,"vulnerabilidad media"
"26004","30/06/2020",6,0,69,"vulnerabilidad baja"
"26005","30/06/2020",1,0,1,"vulnerabilidad baja"
"26006","30/06/2020",12,1,17,"vulnerabilidad baja"
"26007","30/06/2020",0,0,0,"vulnerabilidad baja"
"26008","30/06/2020",0,0,1,"sin vulnerabilidad"
"26009","30/06/2020",0,0,0,"sin vulnerabilidad"
"26010","30/06/2020",3,0,3,"vulnerabilidad baja"
"26011","30/06/2020",13,1,22,"sin vulnerabilidad"
"26012","30/06/2020",20,1,40,"vulnerabilidad baja"
"26013","30/06/2020",0,0,2,"sin vulnerabilidad"
"26014","30/06/2020",3,0,14,"sin vulnerabilidad"
"26015","30/06/2020",6,0,8,"vulnerabilidad media"
"26016","30/06/2020",10,1,16,"vulnerabilidad baja"
"26017","30/06/2020",92,16,909,"vulnerabilidad media"
"26018","30/06/2020",1529,211,2759,"sin vulnerabilidad"
"26019","30/06/2020",109,6,168,"vulnerabilidad baja"
"26020","30/06/2020",2,1,4,"vulnerabilidad baja"
"26021","30/06/2020",0,0,1,"vulnerabilidad media"
"26022","30/06/2020",1,0,2,"sin vulnerabilidad"
"26023","30/06/2020",6,0,12,"sin vulnerabilidad"
"26024","30/06/2020",2,0,2,"sin vulnerabilidad"
"26025","30/06/2020",45,3,118,"vulnerabilidad baja"
"26026","30/06/2020",48,11,87,"vulnerabilidad media"
"26027","30/06/2020",10,1,14,"sin vulnerabilidad"
"26028","30/06/2020",2,0,4,"sin vulnerabilidad"
"26029","30/06/2020",338,31,632,"vulnerabilidad baja"
"26030","30/06/2020",2296,139,7122,"sin vulnerabilidad"
"26031","30/06/2020",1,0,1,"vulnerabilidad baja"
"26032","30/06/2020",0,0,2,"sin vulnerabilidad"
"26033","30/06/2020",91,11,227,"vulnerabilidad media"
"26034","30/06/2020",0,0,2,"sin vulnerabilidad"
"26035","30/06/2020",8,2,13,"vulnerabilidad baja"
"26036","30/06/2020",89,11,157,"sin vulnerabilidad"
"26037","30/06/2020",1,0,4,"vulnerabilidad baja"
"26038","30/06/2020",9,1,22,"sin vulnerabilidad"
"26039","30/06/2020",1,0,11,"vulnerabilidad media"
"26040","30/06/2020",4,0,7,"vulnerabilidad baja"
"26041","30/06/2020",35,0,60,"vulnerabilidad baja"
"26042","30/06/2020",412,59,727,"vulnerabilidad media"
"26043","30/06/2020",1410,125,2271,"vulnerabilidad media"
"26044","30/06/2020",1,0,5,"vulnerabilidad media"
"26045","30/06/2020",1,1,4,"sin vulnerabilidad"
"26046","30/06/2020",0,0,3,"sin vulnerabilidad"
"26047","30/06/2020",3,0,61,"vulnerabilidad baja"
"26048","30/06/2020",22,1,95,"vulnerabilidad baja"
"26049","30/06/2020",5,0,5,"vulnerabilidad media"
"26050","30/06/2020",0,0,1,"sin vulnerabilidad"
"26051","30/06/2020",1,0,2,"vulnerabilidad baja"
"26052","30/06/2020",5,0,23,"vulnerabilidad baja"
"26053","30/06/2020",0,0,1,"vulnerabilidad baja"
"26054","30/06/2020",0,0,0,"vulnerabilidad alta"
"26055","30/06/2020",551,105,1342,"vulnerabilidad media"
"26056","30/06/2020",9,1,18,"vulnerabilidad media"
"26057","30/06/2020",0,0,0,"vulnerabilidad baja"
"26058","30/06/2020",56,2,121,"sin vulnerabilidad"
"26059","30/06/2020",0,0,1,"vulnerabilidad baja"
"26060","30/06/2020",3,1,6,"vulnerabilidad media"
"26061","30/06/2020",0,0,0,"vulnerabilidad media"
"26062","30/06/2020",0,0,0,"vulnerabilidad baja"
"26063","30/06/2020",0,0,2,"vulnerabilidad baja"
"26064","30/06/2020",6,0,12,"vulnerabilidad baja"
"26065","30/06/2020",1,0,6,"sin vulnerabilidad"
"26066","30/06/2020",7,0,19,"sin vulnerabilidad"
"26067","30/06/2020",2,0,3,"sin vulnerabilidad"
"26068","30/06/2020",1,0,3,"vulnerabilidad baja"
"26069","30/06/2020",0,0,0,"vulnerabilidad media"
"26070","30/06/2020",24,0,69,"No Disponible"
"26071","30/06/2020",21,9,33,"vulnerabilidad baja"
"26072","30/06/2020",8,5,18,"vulnerabilidad media"
"27001","30/06/2020",162,7,367,"vulnerabilidad media"
"27002","30/06/2020",742,76,1632,"vulnerabilidad media"
"27003","30/06/2020",236,22,522,"vulnerabilidad media"
"27004","30/06/2020",4963,474,11455,"vulnerabilidad alta"
"27005","30/06/2020",467,73,845,"vulnerabilidad baja"
"27006","30/06/2020",389,21,746,"vulnerabilidad media"
"27007","30/06/2020",105,8,222,"vulnerabilidad baja"
"27008","30/06/2020",319,46,677,"vulnerabilidad media"
"27009","30/06/2020",207,19,455,"vulnerabilidad media"
"27010","30/06/2020",462,30,1033,"vulnerabilidad baja"
"27011","30/06/2020",51,4,154,"vulnerabilidad baja"
"27012","30/06/2020",696,67,1631,"vulnerabilidad media"
"27013","30/06/2020",760,80,1659,"vulnerabilidad baja"
"27014","30/06/2020",321,34,629,"sin vulnerabilidad"
"27015","30/06/2020",232,12,412,"vulnerabilidad media"
"27016","30/06/2020",276,48,528,"vulnerabilidad media"
"27017","30/06/2020",285,14,663,"vulnerabilidad media"
"28001","30/06/2020",1,0,10,"sin vulnerabilidad"
"28002","30/06/2020",17,2,101,"vulnerabilidad media"
"28003","30/06/2020",298,12,832,"sin vulnerabilidad"
"28004","30/06/2020",0,0,9,"vulnerabilidad media"
"28005","30/06/2020",0,0,1,"vulnerabilidad media"
"28006","30/06/2020",3,0,25,"vulnerabilidad media"
"28007","30/06/2020",6,0,29,"vulnerabilidad baja"
"28008","30/06/2020",2,0,3,"vulnerabilidad media"
"28009","30/06/2020",570,23,1465,"vulnerabilidad baja"
"28010","30/06/2020",0,0,1,"vulnerabilidad media"
"28011","30/06/2020",3,0,16,"vulnerabilidad media"
"28012","30/06/2020",5,1,41,"vulnerabilidad media"
"28013","30/06/2020",13,1,115,"vulnerabilidad media"
"28014","30/06/2020",3,0,14,"sin vulnerabilidad"
"28015","30/06/2020",13,2,34,"vulnerabilidad baja"
"28016","30/06/2020",1,1,34,"vulnerabilidad media"
"28017","30/06/2020",0,0,24,"vulnerabilidad media"
"28018","30/06/2020",0,0,12,"vulnerabilidad baja"
"28019","30/06/2020",0,0,23,"vulnerabilidad media"
"28020","30/06/2020",0,0,2,"vulnerabilidad media"
"28021","30/06/2020",119,10,662,"vulnerabilidad baja"
"28022","30/06/2020",1065,85,3842,"sin vulnerabilidad"
"28023","30/06/2020",0,0,0,"vulnerabilidad baja"
"28024","30/06/2020",9,0,20,"sin vulnerabilidad"
"28025","30/06/2020",10,0,59,"sin vulnerabilidad"
"28026","30/06/2020",0,0,8,"vulnerabilidad media"
"28027","30/06/2020",608,37,2093,"vulnerabilidad media"
"28028","30/06/2020",1,0,9,"vulnerabilidad baja"
"28029","30/06/2020",0,0,12,"vulnerabilidad media"
"28030","30/06/2020",26,0,204,"vulnerabilidad media"
"28031","30/06/2020",0,0,0,"vulnerabilidad media"
"28032","30/06/2020",1433,96,4710,"sin vulnerabilidad"
"28033","30/06/2020",256,13,731,"vulnerabilidad media"
"28034","30/06/2020",1,0,8,"vulnerabilidad media"
"28035","30/06/2020",15,2,127,"vulnerabilidad media"
"28036","30/06/2020",0,0,0,"vulnerabilidad media"
"28037","30/06/2020",5,0,83,"vulnerabilidad media"
"28038","30/06/2020",821,34,2199,"vulnerabilidad baja"
"28039","30/06/2020",7,1,63,"vulnerabilidad media"
"28040","30/06/2020",54,2,261,"sin vulnerabilidad"
"28041","30/06/2020",537,22,3555,"sin vulnerabilidad"
"28042","30/06/2020",0,0,1,"vulnerabilidad media"
"28043","30/06/2020",16,2,125,"vulnerabilidad media"
"29001","30/06/2020",23,3,58,"vulnerabilidad baja"
"29002","30/06/2020",51,7,142,"vulnerabilidad media"
"29003","30/06/2020",9,1,19,"vulnerabilidad baja"
"29004","30/06/2020",12,2,29,"vulnerabilidad media"
"29005","30/06/2020",217,26,680,"vulnerabilidad media"
"29006","30/06/2020",59,12,127,"vulnerabilidad baja"
"29007","30/06/2020",17,3,44,"vulnerabilidad media"
"29008","30/06/2020",27,5,40,"vulnerabilidad baja"
"29009","30/06/2020",5,0,23,"vulnerabilidad baja"
"29010","30/06/2020",216,29,558,"vulnerabilidad media"
"29011","30/06/2020",6,2,13,"sin vulnerabilidad"
"29012","30/06/2020",6,1,14,"vulnerabilidad baja"
"29013","30/06/2020",148,18,354,"vulnerabilidad baja"
"29014","30/06/2020",32,5,62,"sin vulnerabilidad"
"29015","30/06/2020",46,5,130,"sin vulnerabilidad"
"29016","30/06/2020",8,1,30,"vulnerabilidad baja"
"29017","30/06/2020",14,5,21,"vulnerabilidad alta"
"29018","30/06/2020",94,17,240,"vulnerabilidad alta"
"29019","30/06/2020",34,5,61,"vulnerabilidad alta"
"29020","30/06/2020",11,4,20,"vulnerabilidad baja"
"29021","30/06/2020",15,4,32,"sin vulnerabilidad"
"29022","30/06/2020",8,0,14,"vulnerabilidad baja"
"29023","30/06/2020",36,10,97,"vulnerabilidad alta"
"29024","30/06/2020",43,2,158,"vulnerabilidad alta"
"29025","30/06/2020",98,23,273,"vulnerabilidad alta"
"29026","30/06/2020",40,6,101,"vulnerabilidad baja"
"29027","30/06/2020",27,6,62,"vulnerabilidad alta"
"29028","30/06/2020",35,7,96,"vulnerabilidad alta"
"29029","30/06/2020",29,5,75,"vulnerabilidad media"
"29030","30/06/2020",4,3,10,"vulnerabilidad baja"
"29031","30/06/2020",42,4,126,"sin vulnerabilidad"
"29032","30/06/2020",24,0,64,"vulnerabilidad baja"
"29033","30/06/2020",426,36,1302,"vulnerabilidad media"
"29034","30/06/2020",37,10,99,"vulnerabilidad baja"
"29035","30/06/2020",11,0,16,"vulnerabilidad baja"
"29036","30/06/2020",59,4,168,"vulnerabilidad media"
"29037","30/06/2020",13,2,28,"vulnerabilidad baja"
"29038","30/06/2020",23,0,94,"vulnerabilidad baja"
"29039","30/06/2020",23,2,81,"vulnerabilidad baja"
"29040","30/06/2020",22,0,54,"sin vulnerabilidad"
"29041","30/06/2020",55,13,121,"vulnerabilidad alta"
"29042","30/06/2020",23,4,61,"vulnerabilidad media"
"29043","30/06/2020",81,5,225,"vulnerabilidad baja"
"29044","30/06/2020",137,21,339,"vulnerabilidad media"
"29045","30/06/2020",2,0,10,"vulnerabilidad baja"
"29046","30/06/2020",1,1,6,"vulnerabilidad baja"
"29047","30/06/2020",3,0,8,"sin vulnerabilidad"
"29048","30/06/2020",26,4,73,"vulnerabilidad baja"
"29049","30/06/2020",10,0,26,"vulnerabilidad media"
"29050","30/06/2020",11,3,48,"vulnerabilidad media"
"29051","30/06/2020",5,2,18,"vulnerabilidad media"
"29052","30/06/2020",13,4,32,"vulnerabilidad baja"
"29053","30/06/2020",16,2,37,"vulnerabilidad alta"
"29054","30/06/2020",11,1,25,"vulnerabilidad baja"
"29055","30/06/2020",1,0,8,"vulnerabilidad media"
"29056","30/06/2020",23,5,52,"vulnerabilidad media"
"29057","30/06/2020",6,1,17,"vulnerabilidad media"
"29058","30/06/2020",14,3,36,"vulnerabilidad media"
"29059","30/06/2020",3,1,13,"vulnerabilidad media"
"29060","30/06/2020",12,3,20,"vulnerabilidad alta"
"30001","30/06/2020",0,0,3,"vulnerabilidad media"
"30002","30/06/2020",4,2,5,"sin vulnerabilidad"
"30003","30/06/2020",62,10,99,"vulnerabilidad alta"
"30004","30/06/2020",12,1,39,"vulnerabilidad baja"
"30005","30/06/2020",3,0,5,"vulnerabilidad baja"
"30006","30/06/2020",8,1,15,"vulnerabilidad alta"
"30007","30/06/2020",0,0,3,"vulnerabilidad media"
"30008","30/06/2020",0,0,1,"vulnerabilidad alta"
"30009","30/06/2020",0,0,2,"vulnerabilidad baja"
"30010","30/06/2020",14,1,20,"vulnerabilidad media"
"30011","30/06/2020",76,7,151,"vulnerabilidad media"
"30012","30/06/2020",11,2,24,"vulnerabilidad media"
"30013","30/06/2020",21,5,42,"vulnerabilidad alta"
"30014","30/06/2020",39,2,84,"vulnerabilidad muy alta"
"30015","30/06/2020",27,8,41,"vulnerabilidad alta"
"30016","30/06/2020",84,6,184,"vulnerabilidad media"
"30017","30/06/2020",0,0,2,"vulnerabilidad media"
"30018","30/06/2020",0,0,0,"vulnerabilidad media"
"30019","30/06/2020",0,0,0,"vulnerabilidad media"
"30020","30/06/2020",0,0,3,"vulnerabilidad media"
"30021","30/06/2020",16,1,36,"vulnerabilidad media"
"30022","30/06/2020",11,1,18,"vulnerabilidad alta"
"30023","30/06/2020",4,1,13,"vulnerabilidad media"
"30024","30/06/2020",1,0,1,"sin vulnerabilidad"
"30025","30/06/2020",9,4,16,"vulnerabilidad baja"
"30026","30/06/2020",10,0,29,"vulnerabilidad media"
"30027","30/06/2020",2,0,2,"vulnerabilidad media"
"30028","30/06/2020",359,39,678,"vulnerabilidad alta"
"30029","30/06/2020",1,0,2,"vulnerabilidad media"
"30030","30/06/2020",29,1,67,"vulnerabilidad muy alta"
"30031","30/06/2020",4,1,10,"vulnerabilidad media"
"30032","30/06/2020",18,2,45,"vulnerabilidad baja"
"30033","30/06/2020",10,3,12,"vulnerabilidad alta"
"30034","30/06/2020",18,2,34,"vulnerabilidad alta"
"30035","30/06/2020",0,0,0,"vulnerabilidad media"
"30036","30/06/2020",12,2,16,"vulnerabilidad media"
"30037","30/06/2020",0,0,3,"vulnerabilidad media"
"30038","30/06/2020",49,11,105,"vulnerabilidad media"
"30039","30/06/2020",876,206,1525,"vulnerabilidad media"
"30040","30/06/2020",77,13,118,"vulnerabilidad alta"
"30041","30/06/2020",3,0,3,"vulnerabilidad media"
"30042","30/06/2020",0,0,1,"vulnerabilidad media"
"30043","30/06/2020",2,1,5,"vulnerabilidad alta"
"30044","30/06/2020",513,30,1062,"vulnerabilidad alta"
"30045","30/06/2020",166,7,406,"vulnerabilidad media"
"30046","30/06/2020",1,0,2,"vulnerabilidad baja"
"30047","30/06/2020",4,0,15,"vulnerabilidad muy alta"
"30048","30/06/2020",177,38,282,"vulnerabilidad muy alta"
"30049","30/06/2020",2,0,9,"vulnerabilidad media"
"30050","30/06/2020",1,0,3,"vulnerabilidad alta"
"30051","30/06/2020",5,1,7,"vulnerabilidad alta"
"30052","30/06/2020",2,0,7,"vulnerabilidad media"
"30053","30/06/2020",15,1,32,"vulnerabilidad alta"
"30054","30/06/2020",5,1,18,"vulnerabilidad media"
"30055","30/06/2020",8,2,8,"vulnerabilidad alta"
"30056","30/06/2020",2,0,2,"vulnerabilidad media"
"30057","30/06/2020",2,0,6,"vulnerabilidad media"
"30058","30/06/2020",9,0,19,"vulnerabilidad media"
"30059","30/06/2020",9,0,18,"vulnerabilidad alta"
"30060","30/06/2020",3,1,3,"vulnerabilidad alta"
"30061","30/06/2020",91,18,146,"vulnerabilidad alta"
"30062","30/06/2020",5,0,14,"vulnerabilidad alta"
"30063","30/06/2020",2,0,3,"vulnerabilidad media"
"30064","30/06/2020",1,0,3,"vulnerabilidad media"
"30065","30/06/2020",39,5,76,"vulnerabilidad media"
"30066","30/06/2020",5,0,14,"vulnerabilidad media"
"30067","30/06/2020",1,0,1,"vulnerabilidad alta"
"30068","30/06/2020",135,8,277,"vulnerabilidad alta"
"30069","30/06/2020",16,1,25,"vulnerabilidad alta"
"30070","30/06/2020",0,0,2,"vulnerabilidad media"
"30071","30/06/2020",14,5,21,"vulnerabilidad alta"
"30072","30/06/2020",4,0,6,"vulnerabilidad alta"
"30073","30/06/2020",8,1,20,"vulnerabilidad media"
"30074","30/06/2020",5,1,8,"vulnerabilidad media"
"30075","30/06/2020",3,1,4,"vulnerabilidad media"
"30076","30/06/2020",0,0,1,"vulnerabilidad media"
"30077","30/06/2020",27,2,40,"vulnerabilidad media"
"30078","30/06/2020",1,0,2,"vulnerabilidad media"
"30079","30/06/2020",0,0,1,"vulnerabilidad media"
"30080","30/06/2020",5,0,9,"vulnerabilidad alta"
"30081","30/06/2020",11,1,40,"vulnerabilidad muy alta"
"30082","30/06/2020",24,9,39,"vulnerabilidad media"
"30083","30/06/2020",8,1,16,"vulnerabilidad media"
"30084","30/06/2020",4,0,12,"vulnerabilidad media"
"30085","30/06/2020",51,6,127,"vulnerabilidad media"
"30086","30/06/2020",12,2,18,"vulnerabilidad alta"
"30087","30/06/2020",378,56,885,"vulnerabilidad media"
"30088","30/06/2020",0,0,1,"vulnerabilidad baja"
"30089","30/06/2020",62,18,97,"vulnerabilidad alta"
"30090","30/06/2020",12,4,19,"vulnerabilidad alta"
"30091","30/06/2020",1,0,2,"vulnerabilidad alta"
"30092","30/06/2020",15,2,30,"vulnerabilidad media"
"30093","30/06/2020",7,0,12,"vulnerabilidad muy alta"
"30094","30/06/2020",6,0,16,"vulnerabilidad alta"
"30095","30/06/2020",1,0,2,"vulnerabilidad media"
"30096","30/06/2020",2,0,2,"sin vulnerabilidad"
"30097","30/06/2020",36,8,64,"vulnerabilidad media"
"30098","30/06/2020",1,1,9,"vulnerabilidad media"
"30099","30/06/2020",4,1,6,"vulnerabilidad alta"
"30100","30/06/2020",28,12,41,"vulnerabilidad media"
"30101","30/06/2020",24,3,53,"vulnerabilidad alta"
"30102","30/06/2020",89,16,208,"vulnerabilidad alta"
"30103","30/06/2020",0,0,1,"vulnerabilidad media"
"30104","30/06/2020",2,1,2,"vulnerabilidad media"
"30105","30/06/2020",136,18,258,"vulnerabilidad alta"
"30106","30/06/2020",1,0,2,"vulnerabilidad baja"
"30107","30/06/2020",0,0,0,"vulnerabilidad media"
"30108","30/06/2020",440,95,787,"vulnerabilidad media"
"30109","30/06/2020",15,2,30,"vulnerabilidad media"
"30110","30/06/2020",0,0,0,"vulnerabilidad media"
"30111","30/06/2020",9,2,15,"vulnerabilidad media"
"30112","30/06/2020",5,1,12,"sin vulnerabilidad"
"30113","30/06/2020",1,0,4,"vulnerabilidad alta"
"30114","30/06/2020",1,0,3,"vulnerabilidad media"
"30115","30/06/2020",30,4,90,"vulnerabilidad alta"
"30116","30/06/2020",8,0,12,"vulnerabilidad alta"
"30117","30/06/2020",2,0,7,"vulnerabilidad media"
"30118","30/06/2020",213,16,580,"vulnerabilidad media"
"30119","30/06/2020",0,0,0,"vulnerabilidad alta"
"30120","30/06/2020",9,1,11,"vulnerabilidad muy alta"
"30121","30/06/2020",3,0,12,"vulnerabilidad media"
"30122","30/06/2020",2,1,2,"vulnerabilidad alta"
"30123","30/06/2020",24,2,126,"vulnerabilidad media"
"30124","30/06/2020",147,33,224,"vulnerabilidad alta"
"30125","30/06/2020",8,2,18,"vulnerabilidad alta"
"30126","30/06/2020",21,4,40,"vulnerabilidad baja"
"30127","30/06/2020",4,1,5,"vulnerabilidad alta"
"30128","30/06/2020",70,17,100,"vulnerabilidad media"
"30129","30/06/2020",1,0,3,"vulnerabilidad media"
"30130","30/06/2020",18,6,33,"vulnerabilidad alta"
"30131","30/06/2020",598,109,905,"vulnerabilidad muy alta"
"30132","30/06/2020",2,0,9,"vulnerabilidad alta"
"30133","30/06/2020",23,3,74,"vulnerabilidad alta"
"30134","30/06/2020",25,1,52,"vulnerabilidad baja"
"30135","30/06/2020",14,0,23,"vulnerabilidad muy alta"
"30136","30/06/2020",3,0,5,"vulnerabilidad alta"
"30137","30/06/2020",0,0,0,"vulnerabilidad media"
"30138","30/06/2020",69,3,169,"vulnerabilidad media"
"30139","30/06/2020",1,0,1,"vulnerabilidad media"
"30140","30/06/2020",0,0,2,"vulnerabilidad media"
"30141","30/06/2020",167,41,277,"vulnerabilidad alta"
"30142","30/06/2020",1,0,4,"vulnerabilidad alta"
"30143","30/06/2020",45,10,66,"vulnerabilidad alta"
"30144","30/06/2020",9,2,13,"vulnerabilidad alta"
"30145","30/06/2020",3,0,7,"vulnerabilidad alta"
"30146","30/06/2020",1,0,2,"vulnerabilidad baja"
"30147","30/06/2020",2,1,3,"vulnerabilidad media"
"30148","30/06/2020",22,5,38,"vulnerabilidad media"
"30149","30/06/2020",1,1,4,"vulnerabilidad media"
"30150","30/06/2020",1,0,2,"vulnerabilidad alta"
"30151","30/06/2020",2,2,9,"vulnerabilidad media"
"30152","30/06/2020",1,0,5,"vulnerabilidad media"
"30153","30/06/2020",1,0,1,"vulnerabilidad alta"
"30154","30/06/2020",0,0,0,"vulnerabilidad media"
"30155","30/06/2020",15,2,25,"vulnerabilidad media"
"30156","30/06/2020",0,0,2,"vulnerabilidad media"
"30157","30/06/2020",1,0,3,"vulnerabilidad alta"
"30158","30/06/2020",6,1,12,"vulnerabilidad alta"
"30159","30/06/2020",0,0,1,"vulnerabilidad alta"
"30160","30/06/2020",31,1,59,"vulnerabilidad alta"
"30161","30/06/2020",12,1,19,"vulnerabilidad media"
"30162","30/06/2020",0,0,0,"vulnerabilidad baja"
"30163","30/06/2020",0,0,1,"vulnerabilidad baja"
"30164","30/06/2020",4,2,10,"vulnerabilidad baja"
"30165","30/06/2020",0,0,2,"vulnerabilidad media"
"30166","30/06/2020",1,1,2,"sin vulnerabilidad"
"30167","30/06/2020",0,0,1,"vulnerabilidad alta"
"30168","30/06/2020",1,0,1,"vulnerabilidad media"
"30169","30/06/2020",15,3,42,"vulnerabilidad media"
"30170","30/06/2020",0,0,1,"vulnerabilidad media"
"30171","30/06/2020",1,1,1,"vulnerabilidad alta"
"30172","30/06/2020",2,0,5,"vulnerabilidad alta"
"30173","30/06/2020",13,2,34,"vulnerabilidad media"
"30174","30/06/2020",100,11,175,"vulnerabilidad alta"
"30175","30/06/2020",61,22,88,"vulnerabilidad alta"
"30176","30/06/2020",0,0,1,"vulnerabilidad baja"
"30177","30/06/2020",3,0,7,"vulnerabilidad baja"
"30178","30/06/2020",10,1,22,"vulnerabilidad media"
"30179","30/06/2020",0,0,0,"vulnerabilidad baja"
"30180","30/06/2020",0,0,0,"vulnerabilidad media"
"30181","30/06/2020",18,1,28,"vulnerabilidad media"
"30182","30/06/2020",6,1,13,"vulnerabilidad alta"
"30183","30/06/2020",15,3,35,"vulnerabilidad alta"
"30184","30/06/2020",0,0,0,"vulnerabilidad media"
"30185","30/06/2020",0,0,5,"vulnerabilidad alta"
"30186","30/06/2020",1,0,7,"vulnerabilidad media"
"30187","30/06/2020",0,0,1,"vulnerabilidad baja"
"30188","30/06/2020",3,1,3,"vulnerabilidad media"
"30189","30/06/2020",264,18,429,"vulnerabilidad alta"
"30190","30/06/2020",0,0,2,"vulnerabilidad baja"
"30191","30/06/2020",33,3,79,"sin vulnerabilidad"
"30192","30/06/2020",4,1,11,"vulnerabilidad media"
"30193","30/06/2020",3197,460,5356,"vulnerabilidad alta"
"30194","30/06/2020",10,3,17,"vulnerabilidad baja"
"30195","30/06/2020",0,0,0,"vulnerabilidad media"
"30196","30/06/2020",6,1,12,"vulnerabilidad media"
"30197","30/06/2020",2,2,4,"vulnerabilidad baja"
"30198","30/06/2020",0,0,0,"vulnerabilidad media"
"30199","30/06/2020",3,0,6,"vulnerabilidad alta"
"30200","30/06/2020",0,0,2,"vulnerabilidad media"
"30201","30/06/2020",10,0,34,"vulnerabilidad alta"
"30202","30/06/2020",0,0,0,"vulnerabilidad media"
"30203","30/06/2020",0,0,0,"vulnerabilidad alta"
"30204","30/06/2020",58,16,103,"vulnerabilidad media"
